spp,scd,dbh,dbh_cm,tht,tht_m,stm,stm_kg,brk,brk_kg,bch,bch_kg,fol,fol_kg,agb,agb_kg,lon,lat
Pinus echinata,110,1.9,4.826,16.4,4.998476074,2.64,1.197278912,1.36,0.616780045,0.57,0.258503401,0.68,0.308390023,5.25,2.380952381,-84.18,34.44
Pinus echinata,110,3.4,8.636,31.4,9.570252972,19.27,8.739229025,4.4,1.995464853,2.63,1.192743764,1.75,0.793650794,28.05,12.72108844,-84.18,34.44
Pinus echinata,110,3.7,9.398,35.2,10.72843645,31.65,14.3537415,6.28,2.848072562,1.9,0.861678005,2.57,1.16553288,42.4,19.22902494,-84.18,34.44
Pinus echinata,110,4.3,10.922,38.6,11.76470588,48.28,21.89569161,7.51,3.405895692,2.16,0.979591837,2.53,1.14739229,60.48,27.42857143,-84.18,34.44
Pinus echinata,110,4.5,11.43,36.6,11.15513563,47.27,21.43764172,9.42,4.272108844,2.8,1.26984127,2.42,1.097505669,61.91,28.07709751,-84.18,34.44
Pinus echinata,110,2.9,7.366,20,6.09570253,9.33,4.231292517,2.7,1.224489796,1.88,0.85260771,2.38,1.079365079,16.29,7.387755102,-84.18,34.44
Pinus echinata,110,3.1,7.874,22.8,6.949100884,10.76,4.879818594,3.63,1.646258503,2.42,1.097505669,2.41,1.092970522,19.22,8.716553288,-84.18,34.44
Pinus echinata,110,4.9,12.446,37.4,11.39896373,51.63,23.41496599,10.82,4.907029478,3.95,1.79138322,4.88,2.213151927,71.28,32.32653061,-84.18,34.44
Pinus echinata,110,2.5,6.35,25,7.619628162,9.78,4.43537415,2.51,1.138321995,0.76,0.344671202,0.29,0.131519274,13.34,6.049886621,-84.18,34.44
Pinus echinata,110,3.6,9.144,21.2,6.461444681,14.75,6.689342404,4.43,2.009070295,5.02,2.276643991,3.63,1.646258503,27.83,12.62131519,-84.18,34.44
Pinus echinata,110,3.8,9.652,20.2,6.156659555,14.44,6.548752834,4.91,2.22675737,5.62,2.548752834,4.42,2.004535147,29.39,13.32879819,-84.18,34.44
Pinus echinata,110,4.1,10.414,22.2,6.766229808,13.39,6.072562358,4.71,2.136054422,3,1.360544218,3.58,1.623582766,24.68,11.19274376,-84.18,34.44
Pinus echinata,110,2,5.08,16.8,5.120390125,3.8,1.723356009,1.39,0.630385488,1.14,0.517006803,1.32,0.598639456,7.65,3.469387755,-84.18,34.44
Pinus echinata,110,2.2,5.588,19.5,5.943309966,6.02,2.73015873,1.61,0.73015873,0.91,0.412698413,1.08,0.489795918,9.62,4.362811791,-84.18,34.44
Pinus echinata,110,2.5,6.35,17.5,5.333739714,5.19,2.353741497,2.84,1.287981859,1.68,0.761904762,1.33,0.603174603,11.04,5.006802721,-84.18,34.44
Pinus echinata,110,2.7,6.858,19.1,5.821395916,7.99,3.623582766,2.77,1.256235828,1.53,0.693877551,1.33,0.603174603,13.62,6.176870748,-84.18,34.44
Pinus echinata,110,1.4,3.556,16.5,5.028954587,1.7,0.770975057,0.79,0.358276644,0.5,0.22675737,0.07,0.031746032,3.06,1.387755102,-84.18,34.44
Pinus echinata,110,3.3,8.382,25.5,7.772020725,15.36,6.965986395,3.84,1.741496599,3.95,1.79138322,3.01,1.365079365,26.16,11.86394558,-84.18,34.44
Pinus echinata,110,2.3,5.842,22.6,6.888143859,5.78,2.621315193,2.46,1.115646259,1.23,0.557823129,0.84,0.380952381,10.31,4.675736961,-84.18,34.44
Pinus echinata,110,4.8,12.192,34.6,10.54556538,44.61,20.23129252,9.97,4.52154195,7.08,3.210884354,4.59,2.081632653,66.25,30.04535147,-84.18,34.44
Pinus echinata,110,4.3,10.922,22.2,6.766229808,19.89,9.020408163,7.4,3.35600907,5.06,2.29478458,5.22,2.367346939,37.57,17.03854875,-84.18,34.44
Pinus echinata,110,4.7,11.938,24,7.314843036,26.1,11.83673469,5.31,2.408163265,10.17,4.612244898,7.15,3.242630385,48.73,22.09977324,-84.18,34.44
Pinus echinata,110,1.9,4.826,23,7.010057909,4.03,1.827664399,1.69,0.766439909,0.53,0.240362812,0.34,0.154195011,6.59,2.988662132,-84.18,34.44
Pinus echinata,110,1.8,4.572,16.7,5.089911612,2.1,0.952380952,1.01,0.458049887,0.44,0.199546485,0.59,0.267573696,4.14,1.87755102,-84.18,34.44
Pinus echinata,110,4.4,11.176,30.4,9.265467845,29.51,13.38321995,6.67,3.024943311,4.07,1.845804989,7.1,3.219954649,47.35,21.4739229,-84.18,34.44
Pinus echinata,110,2.5,6.35,17.8,5.425175251,8.28,3.755102041,2.39,1.083900227,1.31,0.594104308,0.72,0.326530612,12.7,5.759637188,-83.57,34.72
Pinus echinata,110,3.8,9.652,23,7.010057909,23.99,10.87981859,5.27,2.390022676,3.02,1.369614512,2.5,1.133786848,34.78,15.77324263,-83.57,34.72
Pinus echinata,110,3.7,9.398,24,7.314843036,20.01,9.074829932,6.17,2.798185941,3.39,1.537414966,2.18,0.988662132,31.75,14.39909297,-83.57,34.72
Pinus echinata,110,4,10.16,26.8,8.16824139,31.95,14.48979592,7.05,3.197278912,1.83,0.829931973,1.68,0.761904762,42.51,19.27891156,-83.57,34.72
Pinus echinata,110,3,7.62,24.6,7.497714112,18.58,8.426303855,4.62,2.095238095,1.66,0.752834467,1.81,0.820861678,26.67,12.0952381,-83.57,34.72
Pinus echinata,110,1.4,3.556,12.1,3.68790003,2.05,0.929705215,0.81,0.367346939,0.32,0.145124717,0.45,0.204081633,3.63,1.646258503,-83.57,34.72
Pinus echinata,110,1.9,4.826,17.4,5.303261201,4.69,2.126984127,1.69,0.766439909,0.56,0.253968254,0.85,0.385487528,7.79,3.532879819,-83.57,34.72
Pinus echinata,110,4.4,11.176,36.5,11.12465712,57.89,26.25396825,9.95,4.512471655,5.74,2.603174603,3,1.360544218,76.58,34.73015873,-83.57,34.72
Pinus echinata,110,1.2,3.048,12.6,3.840292594,1.62,0.734693878,0.74,0.335600907,0.3,0.136054422,0.3,0.136054422,2.96,1.342403628,-83.57,34.72
Pinus echinata,110,4.1,10.414,28.3,8.62541908,40.58,18.40362812,6.81,3.088435374,6.55,2.970521542,2.9,1.315192744,56.84,25.77777778,-83.57,34.72
Pinus echinata,110,3.5,8.89,29.6,9.021639744,19.45,8.820861678,6.26,2.839002268,1.72,0.780045351,1.31,0.594104308,28.74,13.03401361,-83.57,34.72
Pinus echinata,110,4.8,12.192,27.2,8.29015544,41.7,18.91156463,8.88,4.027210884,7.01,3.179138322,6.46,2.929705215,64.05,29.04761905,-83.57,34.72
